Unnamed: 0,date,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
534564,2022/6/24,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.586166,251474000000.0,0.005636565,1.0878627,0.8494265,0.96165067,1501704470,977.35846,1018.28894
534565,2022/6/27,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,19.060944,257897000000.0,0.005636565,1.0924369,0.86283094,0.9660275,1565050724,1014.0811,1044.3008
534566,2022/6/28,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.858465,255158000000.0,0.005636565,1.0575567,0.7408257,0.96267724,710230823,1036.6503,1033.2075
534567,2022/6/29,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.725807,253363000000.0,0.005636565,1.037123,0.73795116,0.95726496,777433616,1032.825,1025.9395
534568,2022/6/30,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,19.172657,259409000000.0,0.005636565,1.079827,0.8015013,0.9564402,814220534,1025.1744,1050.4213
534569,2022/7/1,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.851482,255063000000.0,0.005636565,1.0596546,0.81670487,0.9554538,542055087,1055.7766,1032.825
534570,2022/7/4,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.97716,256764000000.0,0.005636565,1.0210367,0.6271363,0.9401834,545089330,1032.0599,1039.7104
534571,2022/7/5,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.56522,251190000000.0,0.005636565,0.9739927,0.32125,0.93083334,988409642,1046.596,1017.14136
534572,2022/7/6,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.586166,251474000000.0,0.005636565,0.9855609,0.6624323,0.9331807,849303375,1023.6443,1018.28894
534573,2022/7/7,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.363264,248458000000.0,0.005636565,0.9806115,0.39975014,0.93735695,698804070,1007.5781,1006.04803
534574,2022/7/8,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.279476,247324000000.0,0.005636565,0.9533867,0.1787721,0.9309341,429034649,1015.9938,1001.4577
534575,2022/7/11,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.38421,248741000000.0,0.005636565,0.9751852,0.45182103,0.93694067,793827821,994.5722,1007.1956
534576,2022/7/12,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.85202,255071000000.0,0.005636565,0.9933775,0.7526546,0.9486059,1229257451,1002.2228,1032.825
534577,2022/7/13,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,18.38421,248741000000.0,0.005636565,0.99022186,0.5827263,0.94883525,958569483,1036.2677,1007.1956
534578,2022/7/14,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.769773,240428000000.0,0.005636565,0.9560481,0.17497922,0.9584545,1438305477,1023.2618,973.5332
534579,2022/7/15,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.211195,232870000000.0,0.005636565,0.93726236,0.19948079,0.9626401,979985623,961.6748,942.93097
534580,2022/7/18,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.78374,240617000000.0,0.005636565,0.97288007,0.3246888,0.96598214,684561284,942.93097,974.2982
534581,2022/7/19,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.553326,237499000000.0,0.005636565,0.9548044,0.11286307,0.9635006,520426763,965.8826,961.6748
534582,2022/7/20,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.7209,239766000000.0,0.005636565,0.94,0.028307756,0.9562604,565475924,971.62054,970.85547
534583,2022/7/21,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.420662,235704000000.0,0.005636565,0.9475883,0.06716418,0.9461028,487960305,971.23804,954.4068
534584,2022/7/22,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.427645,235799000000.0,0.005636565,0.9807465,0.2168325,0.9320489,583820156,954.02423,954.7893
